rank,term,us_interest,us_preset,gb_interest,gb_preset,ca_interest,de_interest,us_seasonality,us_mom_change,us_yoy_change,from_suggestions
1,fall nails,100,top_monthly,17,top_monthly,100,23,0.9942828,5,0.09,
2,hoco posters,100,growing,,,,,0.8656904,15,1,
3,autumn nails,,,100,top_monthly,12,27,,,,
4,simple autumn nails,,,100,growing,,,,,,
5,nails,74,top_monthly,82,top_monthly,82,57,0.9266868,-0.2,0.04,
6,short autumn nails,,,81,growing,,,,,,
7,autumn outfits,,,78,top_monthly,,52,,,,
8,wallpaper,53,top_monthly,68,top_monthly,54,72,0.46837577,0.04,0.9,Y
9,hairstyles,59,top_monthly,45,top_monthly,34,25,0.5767312,0.1,0.9,
10,outfit ideas,48,top_monthly,38,top_monthly,44,,0.7125006,0.3,-0.08,Y
11,nails inspo 2026,,,47,top_monthly,17,,,,,
12,autumn nails short,,,46,growing,,,,,,
13,autumn french tip nails,,,45,growing,,,,,,
14,white out football game outfit,41,trending_now,,,,,0.74663043,20,1,
15,christmas nails,29,top_yearly,41,top_yearly,28,,0.99214005,0.8,0.2,
16,nail ideas,40,top_monthly,13,top_monthly,37,,0.5001146,-0.2,1,
17,autumn nails 2026,39,trending_now,17,top_monthly,,,0.3170278,25,100.01,
18,brown autumn nails,,,39,growing,,,,,,
19,drawing ideas,26,top_monthly,38,top_monthly,27,22,0.6485481,-0.08,0.3,
20,autumn,,,37,top_monthly,,21,,,,
21,fall outfits,36,top_monthly,18,top_monthly,58,51,0.98627174,1,-0.3,
22,september nails,31,top_monthly,36,top_monthly,28,,0.8070113,7,1,
23,fall nails 2026 color trends,33,trending_now,,,5,,0.31589305,30,100.01,
24,nail inspo,31,top_monthly,27,top_monthly,26,23,0.8461596,-0.2,0.6,
25,aesthetic,16,top_monthly,31,top_monthly,18,32,0.48105744,-0.1,0.6,
26,spring nails,28,top_yearly,22,top_yearly,22,,0.97824883,0.3,0.3,
