seed,suggestion,source,country,latest_interest,mean_interest,max_interest,trend_52w
aesthetic room,aesthetic room posters,prefix_match,GB,100,48.8,100,30
coloring pages,coloring pages for kids,prefix_match,GB,100,43.1,100,76
home decor,home decoration ideas,prefix_match,GB,100,65.8,100,61
meal prep,meal prep snacks,prefix_match,GB,100,34.6,100,72
outfit ideas,outfit ideas for women,prefix_match,GB,100,31.8,100,68
wedding,wedding cake,prefix_match,GB,100,47.0,100,47
coloring pages,coloring pages y2k,prefix_match,US,100,33.4,100,87
home decor,home decor aesthetic,prefix_match,US,100,50.6,100,76
outfit ideas,outfit ideas for women,prefix_match,US,100,32.1,100,68
outfit ideas,outfit ideas school,prefix_match,US,100,39.0,100,48
travel tips,fox tips hair,prefix_match,US,100,38.3,100,80
wallpaper,wallpaper,prefix_match,US,100,79.8,100,33
wedding,wedding guest hairstyles,prefix_match,US,100,62.1,100,3
wallpaper,wallpaper dark,related_terms,GB,100,72.0,100,20
outfit ideas,cute fall outfits for women,related_terms,US,100,19.0,100,74
wallpaper,wallpaper 4k,prefix_match,GB,99,41.9,100,60
outfit ideas,outfit ideas black women,prefix_match,US,99,38.7,100,81
outfit ideas,outfit ideas autumn,prefix_match,GB,98,16.5,100,27
coloring pages,coloring pages for boys,prefix_match,US,98,74.0,100,29
desk setup,office desk setup,prefix_match,US,98,66.3,100,60
desk setup,desk setup ideas,prefix_match,GB,96,34.8,100,77
coloring pages,coloring pages fall,prefix_match,US,96,23.9,100,3
home decor,family room,related_terms,GB,96,69.7,100,25
desk setup,desk setup ideas,prefix_match,US,95,42.9,100,76
wallpaper,cool wallpaper,related_terms,GB,95,61.9,100,0
budget,how to budget for beginners,related_terms,US,95,36.6,100,68
outfit ideas,outfit ideas,prefix_match,US,94,76.8,100,7
study motivation,study era,related_terms,US,94,39.7,100,88
wallpaper,backgrounds,related_terms,US,94,65.5,100,26
wallpaper,wallpaper for laptop,prefix_match,US,93,27.6,100,72
wallpaper,wallpaper 4k,prefix_match,US,93,39.7,100,57
wallpaper,wallpaper,prefix_match,GB,92,73.1,100,23
meal prep,meal prep snacks,prefix_match,US,92,62.9,100,32
travel tips,travel outfits for women,prefix_match,US,92,55.8,100,66
study motivation,study era,related_terms,GB,92,38.4,100,82
wallpaper,wallpaper laptop,prefix_match,GB,91,68.9,100,24
wallpaper,wallpaper autumn,prefix_match,GB,91,14.2,100,27
aesthetic room,living room aesthetic,prefix_match,US,91,44.7,100,74
budget,budget template,prefix_match,US,91,55.2,100,16
aesthetic room,cozy bedroom ideas,related_terms,GB,91,75.9,100,4
aesthetic room,small room ideas,related_terms,GB,91,73.6,100,27
home decor,living room aesthetic,related_terms,US,91,44.2,100,75
desk setup,small desk setup,prefix_match,GB,88,43.8,100,62
coloring pages,coloring pages for kids,prefix_match,US,88,60.9,100,44
coloring pages,coloring pages for adults,prefix_match,US,88,79.2,100,16
outfit ideas,fall outfits 2026 women,related_terms,GB,88,9.2,100,88
coloring pages,coloring pages for adults,related_terms,US,88,79.1,100,15
wedding,elegant wedding dresses,related_terms,US,88,57.4,100,38
meal prep,meal prep ideas,prefix_match,GB,87,50.5,100,41
skincare,skincare products aesthetic,prefix_match,US,87,65.6,100,46
desk setup,wfh desk setup,prefix_match,GB,86,68.8,100,-7
planner,weekly planner template,prefix_match,GB,86,50.1,100,43
wallpaper,wallpapers,prefix_match,GB,86,72.6,100,-14
meal prep,meal prep ideas,prefix_match,US,86,42.2,100,49
outfit ideas,winter outfits for women,related_terms,GB,86,24.1,100,72
wallpaper,cool wallpaper,related_terms,US,86,49.6,100,45
aesthetic room,room aesthetic,prefix_match,GB,85,48.3,100,56
aesthetic room,living room aesthetic,prefix_match,GB,85,46.8,100,60
home decor,home decor diy,prefix_match,US,85,67.8,100,31
meal prep,meal prep breakfast ideas,prefix_match,US,85,59.8,100,35
aesthetic room,small room makeover,related_terms,GB,85,76.3,100,8
desk setup,corner desk,related_terms,GB,85,78.5,100,-8
home decor,living room aesthetic,related_terms,GB,85,46.5,100,58
outfit ideas,birthday outfit,related_terms,GB,85,73.3,100,5
desk setup,desk setup,prefix_match,GB,84,58.7,100,36
study motivation,study motivation video,prefix_match,GB,84,44.7,100,29
meal prep,meal prep lunches,prefix_match,US,84,55.5,100,31
gift ideas,gifts,related_terms,US,83,38.6,93,57
aesthetic room,aesthetic room,prefix_match,GB,82,69.0,100,20
wallpaper,wallpapers,prefix_match,US,82,67.4,100,-18
home decor,family room,related_terms,US,81,77.1,100,12
meal prep,food prep ideas,related_terms,US,81,46.5,100,32
wedding,wedding,prefix_match,US,80,80.0,100,-8
wallpaper,wallpaper ideas,prefix_match,GB,79,61.8,100,1
