seed,suggestion,source,country,latest,mean,max,trend_52w,weeks
christmas home decor,fall decor ideas for the home,prefix_match,US,84.0,17.5,100.0,-2.0,52
fall home decor,fall decor ideas for the home,prefix_match,US,84.0,17.5,100.0,-2.0,52
christmas home decor,fall home decor,prefix_match,US,83.0,20.9,100.0,-15.0,52
fall home decor,fall home decor,prefix_match,US,83.0,20.9,100.0,-15.0,52
printable wall art,diy wall art,prefix_match,US,83.0,71.7,100.0,14.0,52
christmas home decor,fall home decor ideas,prefix_match,US,82.0,15.1,100.0,45.0,52
fall home decor,fall home decor ideas,prefix_match,US,82.0,15.1,100.0,45.0,52
fall home decor,fall decor,prefix_match,US,82.0,19.2,100.0,-17.0,52
fall home decor,simple fall decor ideas for the home,prefix_match,US,81.0,16.6,100.0,-15.0,52
christmas home decor,fall home decor 2026,prefix_match,US,79.0,10.9,100.0,79.0,52
fall home decor,fall home decor 2026,prefix_match,US,79.0,10.9,100.0,79.0,52
autumn home decor,autumn home,prefix_match,GB,76.0,19.5,100.0,-24.0,52
printable wall art,wall art ideas,prefix_match,US,73.0,63.8,100.0,36.0,52
fall home decor,fall decor ideas for the home diy,prefix_match,US,72.0,17.3,100.0,-15.0,52
fall home decor,fall room decor,prefix_match,US,72.0,16.5,100.0,13.0,52
autumn home decor,autumn decor,prefix_match,GB,71.0,14.5,100.0,7.0,52
printable wall art,bedroom wall art,prefix_match,US,71.0,67.1,100.0,11.0,52
christmas home decor,elf on the shelf ideas,related_terms,US,71.0,7.6,99.0,71.0,66
autumn home decor,autumn home screen,prefix_match,GB,66.0,13.2,100.0,-19.0,52
printable wall art,christian wall art printable,prefix_match,US,65.0,54.6,100.0,13.0,52
autumn home decor,autumn decor ideas,prefix_match,GB,64.0,10.3,100.0,43.0,52
printable wall art,wall art,prefix_match,US,64.0,59.6,100.0,10.0,52
christmas home decor,home decor ideas,prefix_match,GB,63.0,67.2,100.0,-26.0,52
christmas home decor,autumn home decor,prefix_match,GB,63.0,16.2,100.0,-26.0,52
autumn home decor,autumn home decor,prefix_match,GB,63.0,16.2,100.0,-26.0,52
autumn home decor,home decor ideas,prefix_match,GB,63.0,67.2,100.0,-26.0,52
autumn home decor,autumn room decor,prefix_match,GB,63.0,13.9,100.0,16.0,52
christmas home decor,home decor bedroom,prefix_match,GB,60.0,25.5,100.0,26.0,52
autumn home decor,home decor bedroom,prefix_match,GB,60.0,25.5,100.0,26.0,52
christmas home decor,diy home decor,prefix_match,GB,58.0,57.3,100.0,-42.0,52
autumn home decor,diy home decor,prefix_match,GB,58.0,57.3,100.0,-42.0,52
christmas home decor,home decor,prefix_match,US,57.0,64.2,100.0,3.0,52
fall home decor,home decor,prefix_match,US,57.0,64.2,100.0,3.0,52
printable wall art,printable wall art,prefix_match,US,56.0,74.2,100.0,-44.0,52
christmas home decor,diy home decor,prefix_match,US,55.0,62.2,100.0,-45.0,52
christmas home decor,home decor ideas,prefix_match,US,54.0,71.5,100.0,-39.0,52
fall home decor,home decor ideas,prefix_match,US,54.0,71.5,100.0,-39.0,52
printable wall art,wall art prints,prefix_match,US,53.0,45.8,100.0,-4.0,52
printable wall art,free printable wall art,prefix_match,US,49.0,30.5,100.0,-22.0,52
christmas home decor,home decor,prefix_match,GB,46.0,51.8,100.0,-3.0,52
